序号,文件,项目名称,项目地址,城市,经度,纬度,定位方式
265,parking_lots_count.json,百川智荟广场停车场,嶂背路466号,深圳市,,,定位失败
266,parking_lots_count.json,皇庭中心,福田街道皇庭中心连城新次地LINKCITY,深圳市,,,定位失败
267,parking_lots_count.json,皇庭广场停车场,福华三路118号皇庭广场,深圳市,,,定位失败
269,parking_lots_count.json,益鹏工业园停车场,观湖街道观清路益鹏工业区,深圳市,,,定位失败
271,parking_lots_count.json,石岩体育馆停车场,石岩街道石岩体育馆,深圳市,,,定位失败
272,parking_lots_count.json,石鸿花园,新安街道安锦街富铭花园,深圳市,,,定位失败
273,parking_lots_count.json,研祥科技大厦停车场,高新中四道31号研祥科技大厦,深圳市,,,定位失败
274,parking_lots_count.json,硅谷动力10园低碳科技园停车场,硅谷动力10园（低碳科技园）,深圳市,,,定位失败
277,parking_lots_count.json,硅谷动力智能终端产业园地面停车场,大富路与大富二路交叉口南160米,深圳市,,,定位失败
278,parking_lots_count.json,硅谷大院停车场,龙华街道清泉路与三联路交汇处,深圳市,,,定位失败
279,parking_lots_count.json,神力创意产业园,神力创意产业园,深圳市,,,定位失败
280,parking_lots_count.json,神州数码创新中心停车场,深湾二路神州数码 项目部,深圳市,,,定位失败
281,parking_lots_count.json,祥利上城停车场（4期）,东莞市凤观路与凤岗永盛大街交叉口东南200米祥利上城,东莞市,,,定位失败
282,parking_lots_count.json,祥昭大厦停车场,大浪街道祥昭大厦,深圳市,,,定位失败
283,parking_lots_count.json,祥昭平湖物流园停车场,平湖街道长福路221号新能源物流车运营中心,深圳市,,,定位失败
284,parking_lots_count.json,福圳工业区停车场,长圳社区玉塘街道长凤路337号福圳工业区,深圳市,,,定位失败
285,parking_lots_count.json,福城数字创新园停车场,福前路228号,深圳市,,,定位失败
286,parking_lots_count.json,福年广场停车场,福保街道福年广场B1座中芬设计园,深圳市,,,定位失败
287,parking_lots_count.json,科苑观澜停车场,观湖街道观盛三路科苑观澜,深圳市,,,定位失败
288,parking_lots_count.json,竹村停车场,福城街道竹村西区,深圳市,,,定位失败
289,parking_lots_count.json,精锭科技园停车场,锦龙大道2号精锭科技园,深圳市,,,定位失败
292,parking_lots_count.json,综合楼停车场,东环二路龙苑酒楼,深圳市,,,定位失败
294,parking_lots_count.json,罗湖奥特城,桃园路276号粤华奥特城,深圳市,,,定位失败
295,parking_lots_count.json,羊台新村立体车库停车场,陶元路3号,深圳市,,,定位失败
297,parking_lots_count.json,美信达科学里,展业一路与西田路交叉口南140米,深圳市,,,定位失败
298,parking_lots_count.json,美生慧谷停车场,新安街道大宝路83号美生慧谷科技产业园,深圳市,,,定位失败
299,parking_lots_count.json,美荔园大厦地下停车场,红岭中路1012号美荔园荔园酒店,深圳市,,,定位失败
300,parking_lots_count.json,联佳工业园停车场,凤安路富民工业区,深圳市,,,定位失败
301,parking_lots_count.json,联佳工业城,凤安路富民工业区,深圳市,,,定位失败
302,parking_lots_count.json,联想后海中心停车场,后海滨路与海德一道交叉口,深圳市,,,定位失败
304,parking_lots_count.json,胜立工业园,清祥路6号,深圳市,,,定位失败
305,parking_lots_count.json,航城创新创业园,航城大道航城创新创业园,深圳市,,,定位失败
306,parking_lots_count.json,航次大厦停车场,深南大道4019号,深圳市,,,定位失败
307,parking_lots_count.json,良基大厦停车场,东环一路100号,深圳市,,,定位失败
308,parking_lots_count.json,艺茂中心停车场,艺茂中心停车场(红岭北地铁站D口步行150米),深圳市,,,定位失败
309,parking_lots_count.json,花园格兰云次酒店停车场,花园格兰云次酒店有限公司,深圳市,,,定位失败
310,parking_lots_count.json,融创智汇大厦停车场,龙胜路与景龙建设路交叉处,深圳市,,,定位失败
311,parking_lots_count.json,融湖广场停车场,平湖街道平吉大道408号(与平龙路交汇处),深圳市,,,定位失败
312,parking_lots_count.json,西湾智园停车场,航空路（西湾智园）,深圳市,,,定位失败
313,parking_lots_count.json,观湖中心公园停车场,观湖街道翠幽路中心公园,深圳市,,,定位失败
315,parking_lots_count.json,豪威科技大厦停车场,科技南八路2号豪威科技大厦,深圳市,,,定位失败
316,parking_lots_count.json,赛格智慧停车场,南海大道3023号赛格智慧停车场,深圳市,,,定位失败
317,parking_lots_count.json,赛龙豪轩停车场,龙华街道东环一路三联山咀头小区,深圳市,,,定位失败
318,parking_lots_count.json,赣锋科技大厦停车场,稼学路与稼先路交叉口南60米,深圳市,,,定位失败
319,parking_lots_count.json,超多维科技大厦停车场,高新南地铁站C口步行260米,深圳市,,,定位失败
320,parking_lots_count.json,远望万鸿名车停车场,笋岗街道宝能汽车大楼,深圳市,,,定位失败
321,parking_lots_count.json,逸翠园停车场,翠竹路逸翠大厦,深圳市,,,定位失败
322,parking_lots_count.json,邦凯科技园停车场,凤凰街道光源五路9号,深圳市,,,定位失败
324,parking_lots_count.json,金丰城大厦停车场,桂园街道深南东路5015-9号,深圳市,,,定位失败
325,parking_lots_count.json,金丽豪苑停车场（住宅）,贝丽南路48号金丽豪苑内部,深圳市,,,定位失败
326,parking_lots_count.json,金丽豪苑停车场（广场）,贝丽南路48号金丽豪苑,深圳市,,,定位失败
327,parking_lots_count.json,金山大厦,桂园街道金山大厦(书城路),深圳市,,,定位失败
328,parking_lots_count.json,金港商务大厦停车场,大铲湾口岸大楼对面,深圳市,,,定位失败
329,parking_lots_count.json,金源嘉科技园停车场,南湾街道下李朗社区香叶路5号,深圳市,,,定位失败
330,parking_lots_count.json,金裕城产业园停车场,金裕城产业园东北门旁,深圳市,,,定位失败
331,parking_lots_count.json,金达豪花园停车场,坂李大道与甘李路交叉口北160米,深圳市,,,定位失败
333,parking_lots_count.json,鑫中鑫园区,大富路与大富三路交叉口西北180米,深圳市,,,定位失败
334,parking_lots_count.json,锦富大厦停车场,观光路1347号,深圳市,,,定位失败
335,parking_lots_count.json,锦明花园停车场（新）,银田路43号,深圳市,,,定位失败
336,parking_lots_count.json,阳光达花园停车场,龙岗街道清水路3号陂头肚综合楼,深圳市,,,定位失败
337,parking_lots_count.json,阳和浪小区停车场,宝龙街道岗德路59-1号伟华楼,深圳市,,,定位失败
340,parking_lots_count.json,青年梦工场停车场,华兴路93-95号,深圳市,,,定位失败
341,parking_lots_count.json,顺次大厦停车场,桂庙路62号(南山地铁站H口步行200米),深圳市,,,定位失败
342,parking_lots_count.json,领展中心城,福华一路3号领展中心城停车场,深圳市,,,定位失败
343,parking_lots_count.json,颖博工业园地面停车场,东环二路与奋进路交叉口西南60米,深圳市,,,定位失败
344,parking_lots_count.json,飞亚达科技大厦停车场,飞亚达科技大厦(科技南十二路),深圳市,,,定位失败
346,parking_lots_count.json,高标大厦停车场,高标大厦(翠竹地铁站C口步行390米),深圳市,,,定位失败
347,parking_lots_count.json,高科国际创新中心停车场,科联路高科国际创新中心,深圳市,,,定位失败
348,parking_lots_count.json,高雅内部停车场,横岗街道六和路6之1-2号,深圳市,,,定位失败
349,parking_lots_count.json,鸿鹏大厦停车场,西乡街道铁岗社区宝田一路369号,深圳市,,,定位失败
350,parking_lots_count.json,鹏利泰园区（志达工业园内部）停车场,龙平西路4号,深圳市,,,定位失败
354,parking_lots_count.json,黄麻埔停车场,大浪街道办,深圳市,,,定位失败
355,parking_lots_count.json,黄龙陂简一小区,南联路39号简一小区,深圳市,,,定位失败
358,parking_lots_count.json,龙山艺术产业园停车场,南湾街道南岭村社区龙山工业区24号,深圳市,,,定位失败
359,parking_lots_count.json,龙泉信息科技园停车场,大浪街道华天路龙泉信息科技园,深圳市,,,定位失败
360,parking_lots_count.json,龙胜恒博中心停车场,大浪街道龙胜恒博中心,深圳市,,,定位失败
